
Tracing route to veeramhirekhan.github.io [185.199.110.153]
over a maximum of 30 hops:

  1     2 ms     1 ms     1 ms  192.168.1.1 
  2     9 ms     9 ms     8 ms  d4-50-1-104.nap.wideopenwest.com [50.4.104.1] 
  3     8 ms     9 ms     8 ms  dynamic-76-73-171-177.knology.net [76.73.171.177] 
  4     8 ms     9 ms    54 ms  dynamic-75-76-35-3.knology.net [75.76.35.3] 
  5    22 ms    15 ms    18 ms  dynamic-75-76-35-51.knology.net [75.76.35.51] 
  6    25 ms    15 ms    16 ms  dynamic-75-76-35-10.knology.net [75.76.35.10] 
  7    16 ms    18 ms    15 ms  dynamic-75-76-35-6.knology.net [75.76.35.6] 
  8     *        *        *     Request timed out.
  9    15 ms    15 ms    16 ms  185.199.110.153 

Trace complete.
