DECIMAL    BINARY         HEXDECIMAL         BCD
155        1001 1011      9B                 0001 0101 0101
156        1001 1100      9C                 0001 0101 0110
157        1001 1101      9D                 0001 0101 0111
158        1001 1110      9E                 0001 0101 1000
159        1001 1111      9F                 0001 0101 1001
160        1010 0000      A0                 0001 0110 0000
161        1010 0001      A1                 0001 0110 0001
162        1010 0010      A2                 0001 0110 0010
163        1010 0011      A3                 0001 0110 0011
164        1010 0100      A4                 0001 0110 0100
165        1010 0101      A5                 0001 0110 0101
166        1010 0110      A6                 0001 0110 0110
167        1010 0111      A7                 0001 0110 0111
168        1010 1000      A8                 0001 0110 1000
169        1010 1001      A9                 0001 0110 1001
170        1010 1010      AA                 0001 0111 0000
171        1010 1011      AB                 0001 0111 0001
172        1010 1100      AC                 0001 0111 0010
173        1010 1101      AD                 0001 0111 0011
174        1010 1110      AE                 0001 0111 0100
175        1010 1111      AF                 0001 0111 0101
176        1011 0000      B0                 0001 0111 0110
177        1011 0001      B1                 0001 0111 0111
178        1011 0010      B2                 0001 0111 1000
179        1011 0011      B3                 0001 0111 1001
180        1011 0100      B4                 0001 1000 0000
181        1011 0101      B5                 0001 1000 0001
182        1011 0110      B6                 0001 1000 0010
183        1011 0111      B7                 0001 1000 0011
184        1011 1000      B8                 0001 1000 0100
185        1011 1001      B9                 0001 1000 0101
186        1011 1010      BA                 0001 1000 0110
187        1011 1011      BB                 0001 1000 0111
188        1011 1100      BC                 0001 1000 1000
189        1011 1101      BD                 0001 1000 1001
190        1011 1110      BE                 0001 1001 0000
191        1011 1111      BF                 0001 1001 0001
192        1100 0000      C0                 0001 1001 0010
193        1100 0001      C1                 0001 1001 0011
194        1100 0010      C2                 0001 1001 0100
195        1100 0011      C3                 0001 1001 0101
196        1100 0100      C4                 0001 1001 0110
197        1100 0101      C5                 0001 1001 0111
198        1100 0110      C6                 0001 1001 1000
199        1100 0111      C7                 0001 1001 1001
200        1100 1000      C8                 0010 0000 0000
201        1100 1001      C9                 0010 0000 0001
202        1100 1010      CA                 0010 0000 0010
203        1100 1011      CB                 0010 0000 0011
