
Tracing route to expo.io [35.202.142.166]
over a maximum of 30 hops:

  1     1 ms     1 ms     1 ms  192.168.1.1 
  2     9 ms    11 ms     9 ms  d4-50-1-104.nap.wideopenwest.com [50.4.104.1] 
  3     9 ms     9 ms     8 ms  dynamic-76-73-171-177.knology.net [76.73.171.177] 
  4     9 ms     8 ms     9 ms  dynamic-75-76-35-3.knology.net [75.76.35.3] 
  5    23 ms    23 ms    25 ms  76-73-165-86.knology.net [76.73.165.86] 
  6    24 ms    25 ms    29 ms  dynamic-75-76-35-13.knology.net [75.76.35.13] 
  7    23 ms    23 ms    23 ms  eqixva-google-gige.google.com [206.126.236.21] 
  8    26 ms    35 ms    24 ms  108.170.246.34 
  9    24 ms    25 ms    24 ms  216.239.63.235 
 10    28 ms    28 ms    28 ms  209.85.253.248 
 11    38 ms    37 ms    38 ms  72.14.232.70 
 12    37 ms    37 ms    39 ms  209.85.249.205 
 13    38 ms    45 ms    38 ms  216.239.58.193 
 14     *        *        *     Request timed out.
 15     *        *        *     Request timed out.
 16     *        *        *     Request timed out.
 17     *        *        *     Request timed out.
 18     *        *        *     Request timed out.
 19     *        *        *     Request timed out.
 20     *        *        *     Request timed out.
 21     *        *        *     Request timed out.
 22     *        *        *     Request timed out.
 23    37 ms    36 ms    36 ms  166.142.202.35.bc.googleusercontent.com [35.202.142.166] 

Trace complete.
